English,Hindi,Romanized_Hindi,Telugu
You can always find baked goods somewhere in my pantry.,आप हमेशा मेरी रसोई की अलमारी में कहीं न कहीं बेक की हुई चीजें पा सकते हैं।,Aap hamesha meri rasoi ki almari mein kahin na kahin bake ki hui cheezein pa sakte hain.,నా వంటగది అల్మారాలో మీరు ఎప్పుడూ ఏదో ఒక బేకరీ వస్తువును కనుగొనవచ్చు.
The alligator's teeth were so scary that I ran back to the car as fast as I could.,एलिगेटर के दांत इतने डरावने थे कि मैं जितनी जल्दी हो सके कार की ओर वापस भागा।,Alligator ke daant itne daravne the ki main jitni jaldi ho sake car ki or wapas bhaga.,"మొసలి పళ్ళు ఎంత భయంకరంగా ఉన్నాయంటే, నేను వీలైనంత వేగంగా కారు వైపు పరుగెత్తాను."
"They sold shampoo and conditioner, but no plain soap.","वे शैम्पू और कंडीशनर बेचते थे, लेकिन साधारण साबुन नहीं।","Ve shampoo aur conditioner bechte the, lekin sadharan sabun nahi.","వారు షాంపూ మరియు కండిషనర్లను అమ్ముతారు, కానీ సాధారణ సబ్బును కాదు."
She got a discount to buy the stickers online.,उसे ऑनलाइन स्टिकर खरीदने पर छूट मिली।,Use online sticker kharidne par chhoot mili.,ఆమె ఆన్‌లైన్‌లో స్టిక్కర్లు కొనడానికి డిస్కౌంట్ పొందింది.
"Once you master cooking, you’ll start tweaking popular recipes, and that’s when it becomes even more fun.","एक बार जब आप खाना बनाना सीख जाते हैं, तो आप लोकप्रिय व्यंजनों में बदलाव करना शुरू कर देंगे, और तभी यह और भी मजेदार हो जाता है।","Ek baar jab aap khana banana seekh jaate hain, toh aap lokpriya vyanjanon mein badlav karna shuru kar denge, aur tabhi yeh aur bhi mazedar ho jaata hai.","మీరు వంట చేయడంలో ప్రావీణ్యం సంపాదించాక, ప్రసిద్ధ వంటకాల్లో మార్పులు చేయడం ప్రారంభిస్తారు, అప్పుడే అది మరింత సరదాగా మారుతుంది."
Checking things off the list is the best feeling.,सूची में से चीजों को पूरा कर लेना सबसे अच्छा अहसास है।,Suchi mein se cheezon ko pura kar lena sabse achha ehsas hai.,లిస్టులోని పనులను పూర్తి చేయడం అనేది చాలా మంచి అనుభూతిని ఇస్తుంది.
"Let's all just take a moment to breathe, please.","कृपया, हम सभी थोड़ी देर के लिए सांस लेते हैं।","Kripya, hum sabhi thodi der ke liye saans lete hain.","దయచేసి, మనమందరం కాసేపు ప్రశాంతంగా ఊపిరి తీసుకుందాం."
"She decided to take the bus because it was supposed to be quicker, but then it ended up being twenty minutes late.","उसने बस लेने का फैसला किया क्योंकि यह जल्दी पहुँचने वाली थी, लेकिन अंत में यह बीस मिनट देरी से आई।","Usne bus lene ka faisla kiya kyonki yeh jaldi pahunchne wali thi, lekin ant mein yeh bees minute deri se aayi.","బస్సు త్వరగా వెళ్తుందని ఆమె బస్సు ఎక్కాలని నిర్ణయించుకుంది, కానీ అది ఇరవై నిమిషాలు ఆలస్యమైంది."
She fell off the bull two seconds after she got on.,वह बैल पर बैठने के दो सेकंड बाद ही गिर गई।,Woh bail par baithne ke do second baad hi gir gayi.,ఆమె ఎద్దుపై ఎక్కిన రెండు సెకన్లకే కింద పడిపోయింది.
Rosa crossed Mary's name off the list.,रोज़ा ने सूची से मैरी का नाम काट दिया।,Rosa ne suchi se Mary ka naam kaat diya.,రోసా లిస్టు నుండి మేరీ పేరును తొలగించింది.
She couldn't find the basket she was looking for.,उसे वह टोकरी नहीं मिली जिसे वह ढूंढ रही थी।,Use vah tokri nahi mili jise vah dhoondh rahi thi.,ఆమె వెతుకుతున్న బుట్ట ఆమెకు దొరకలేదు.
What he likes best is being around his friends.,उसे अपने दोस्तों के साथ रहना सबसे ज्यादा पसंद है।,Use apne doston ke saath rehna sabse zyada pasand hai.,అతనికి తన స్నేహితులతో ఉండటమే అంటే చాలా ఇష్టం.
I found a gold coin on the playground after school today.,मुझे आज स्कूल के बाद खेल के मैदान में सोने का एक सिक्का मिला।,Mujhe aaj school ke baad khel ke maidan mein sone ka ek sikka mila.,ఈరోజు స్కూల్ అయిపోయిన తర్వాత ఆటస్థలంలో నాకు ఒక బంగారు నాణెం దొరికింది.
She sells Christmas trees.,वह क्रिसमस ट्री बेचती है।,Vah Christmas tree bechti hai.,ఆమె క్రిస్మస్ చెట్లను అమ్ముతుంది.
Going to a bar is a fun thing to do.,बार जाना एक मजेदार काम है।,Bar jaana ek mazedaar kaam hai.,బార్‌కి వెళ్లడం ఒక సరదా పని.
She got hiccups and couldn't get rid of them for three hours.,उसे हिचकी आ गई और तीन घंटे तक बंद नहीं हुई।,Use hichki aa gayi aur teen ghante tak band nahi hui.,ఆమెకు ఎక్కిళ్లు వచ్చాయి మరియు మూడు గంటల వరకు తగ్గలేదు.
Many big projects will be completed in the 21st century.,21वीं सदी में कई बड़ी परियोजनाएं पूरी हो जाएंगी।,21vi sadi mein kai badi pariyojnayein poori ho jayengi.,21వ శతాబ్దంలో అనేక పెద్ద ప్రాజెక్టులు పూర్తవుతాయి.
They will be here shortly.,वे जल्द ही यहाँ आ जाएंगे।,Ve jald hi yahan aa jayenge.,వారు త్వరలోనే ఇక్కడికి వస్తారు.
The caffeine was making her jittery.,कैफीन की वजह से वह घबराहट महसूस कर रही थी।,Caffeine ki wajah se vah ghabrahat mehsoos kar rahi thi.,కెఫీన్ వల్ల ఆమె ఆందోళనగా ఫీలవుతోంది.
"If you go there, you will find him.","अगर तुम वहाँ जाओगे, तो तुम्हें वह मिल जाएगा।","Agar tum vahan jaoge, to tumhe vah mil jayega.","నువ్వు అక్కడికి వెళ్తే, అతను నీకు కనిపిస్తాడు."
It’s time to watch TV.,अब टीवी देखने का समय हो गया है।,Ab TV dekhne ka samay ho gaya hai.,ఇప్పుడు టీవీ చూసే సమయం అయింది.
They are still edible.,वे अभी भी खाने योग्य हैं।,Ve abhi bhi khaane yogya hain.,అవి ఇంకా తినదగినవే.
I didn’t want to take a side in the argument.,मैं बहस में किसी का पक्ष नहीं लेना चाहता था।,Main bahas mein kisi ka paksh nahi lena chahta tha.,నేను ఆ వాదనలో ఎవరి పక్షం వహించకూడదు అనుకున్నాను.
Captain America is my favorite Avenger.,कैप्टन अमेरिका मेरा पसंदीदा एवेंजर है।,Captain America mera pasandida Avenger hai.,కెప్టెన్ అమెరికా నాకిష్టమైన ఎవెంజర్.
Get your act together.,अपनी हरकतों में सुधार लाओ।,Apni harkaton mein sudhar lao.,నీ ప్రవర్తనను సరిచేసుకో.
"Over time, she realized she would never know how to cook.","समय के साथ, उसे एहसास हुआ कि वह कभी खाना बनाना नहीं सीख पाएगी।","Samay ke sath, use ehsas hua ki vah kabhi khana banana nahi seekh payegi.","కాలక్రమేణా, తనకు వంట చేయడం ఎప్పటికీ రాదని ఆమె గ్రహించింది."
You'll move more than before.,तुम पहले से ज्यादा चलोगे-फिरोगे।,Tum pehle se jyada chaloge-phiroge.,నువ్వు ముందు కంటే ఎక్కువగా కదులుతావు.
He was president from 2008 to 2016.,वह 2008 से 2016 तक राष्ट्रपति थे।,Vah 2008 se 2016 tak rashtrapati the.,ఆయన 2008 నుండి 2016 వరకు అధ్యక్షుడిగా ఉన్నారు.
The window looks out on a garden.,खिड़की से बगीचा दिखता है।,Khidki se bagicha dikhta hai.,కిటికీ నుండి తోట కనిపిస్తుంది.
"The girl wore her hair in two braids, tied with two blue bows.","लड़की ने अपने बालों की दो चोटियाँ बनाई थीं, जिन्हें दो नीले रिबन से बाँधा था।","Ladki ne apne baalon ki do chotiyaan banai thin, jinhen do neele ribbon se bandha tha.","ఆ అమ్మాయి తన జుట్టును రెండు జడలుగా వేసి, రెండు నీలం రంగు రిబ్బన్లతో కట్టింది."
"Looking back, I know it was the right decision.","पीछे मुड़कर देखने पर, मुझे पता है कि वह सही निर्णय था।","Peeche mudkar dekhne par, mujhe pata hai ki vah sahi nirnay tha.","వెనక్కి తిరిగి చూసుకుంటే, అది సరైన నిర్ణయమే అని నాకు తెలుసు."
It is going to happen on Friday.,यह शुक्रवार को होने वाला है।,Yeh shukravar ko hone vala hai.,ఇది శుక్రవారం జరగబోతోంది.
You must be happy.,तुम जरूर खुश होगे।,Tum zaroor khush hoge.,నువ్వు ఖచ్చితంగా సంతోషంగా ఉంటావు.
I need to clean my room.,मुझे अपना कमरा साफ करने की जरूरत है।,Mujhe apna kamra saaf karne ki zaroorat hai.,నేను నా గదిని శుభ్రం చేసుకోవాలి.
"I want the stability of a full-time job, but I'm not interested in the rigidity of working nine to five.","मुझे फुल-टाइम नौकरी की स्थिरता चाहिए, लेकिन मुझे नौ से पांच काम करने की सख्ती में कोई दिलचस्पी नहीं है।","Mujhe full-time naukri ki sthirta chahiye, lekin mujhe nau se paanch kaam karne ki sakhti mein koi dilchaspi nahi hai.","నాకు ఫుల్-టైమ్ ఉద్యోగంలో ఉండే స్థిరత్వం కావాలి, కానీ తొమ్మిది నుండి ఐదు వరకు పని చేసే కఠినమైన పద్ధతిలో నాకు ఆసక్తి లేదు."
You have a big house.,तुम्हारा घर बड़ा है।,Tumhara ghar bada hai.,నీకు పెద్ద ఇల్లు ఉంది.
"She wanted to be a professor when she was in high school, but then she realized how few academic jobs there are on the market.","वह हाई स्कूल में थी तब प्रोफेसर बनना चाहती थी, लेकिन फिर उसे एहसास हुआ कि बाजार में कितनी कम शैक्षणिक नौकरियां हैं।","Vah high school mein thi tab professor banna chahti thi, lekin phir use ehsaas hua ki bazaar mein kitni kam shaikshanik naukriyan hain.","ఆమె హైస్కూల్‌లో ఉన్నప్పుడు ప్రొఫెసర్ కావాలనుకుంది, కానీ మార్కెట్‌లో విద్యా సంబంధిత ఉద్యోగాలు చాలా తక్కువగా ఉన్నాయని ఆమెకు అప్పుడు అర్థమైంది."
She had a big scar on her knee from falling off her bike as a kid.,बचपन में साइकिल से गिरने के कारण उसके घुटने पर एक बड़ा निशान था।,Bachpan mein cycle se girne ke karan uske ghutne par ek bada nishan tha.,చిన్నతనంలో సైకిల్ మీద నుండి పడటం వల్ల ఆమె మోకాలిపై పెద్ద గాయం మచ్చ ఉంది.
They may come in handy one day.,वे किसी दिन काम आ सकते हैं।,Ve kisi din kaam aa sakte hain.,అవి ఏదో ఒక రోజు ఉపయోగపడవచ్చు.
A wet road is usually slippery.,गीली सड़क आमतौर पर फिसलन भरी होती है।,Geeli sadak aamtaur par phisalan bhari hoti hai.,తడి రోడ్డు సాధారణంగా జారుడుగా ఉంటుంది.
"She wanted to get gastric bypass surgery, but her insurance wouldn't cover it.","वह गैस्ट्रिक बाईपास सर्जरी करवाना चाहती थी, लेकिन उसका बीमा इसका खर्च नहीं उठा रहा था।","Vah gastric bypass surgery karvana chahti thi, lekin uska beema iska kharch nahi utha raha tha.","ఆమె గ్యాస్ట్రిక్ బైపాస్ సర్జరీ చేయించుకోవాలనుకుంది, కానీ ఆమె ఇన్సూరెన్స్ దానికి కవర్ చేయలేదు."
"Imagine I am deciding if I like some new, heretofore untasted food.","कल्पना कीजिए कि मैं यह तय कर रहा हूँ कि क्या मुझे कोई नया, पहले कभी न चखा हुआ भोजन पसंद है।","Kalpana kijiye ki main yeh tay kar raha hoon ki kya mujhe koi naya, pehle kabhi na chakha hua bhojan pasand hai.","నేను ఏదైనా కొత్త, ఇంతకుముందు రుచి చూడని ఆహారం నాకు నచ్చిందో లేదో నిర్ణయించుకుంటున్నానని ఊహించుకోండి."
He earned his PhD in physics at the age of 89.,उसने 89 साल की उम्र में भौतिकी में अपनी पीएचडी पूरी की।,Usne 89 saal ki umr mein bhautiki mein apni PhD poori ki.,అతను 89 ఏళ్ల వయసులో ఫిజిక్స్‌లో తన పీహెచ్‌డీని పూర్తి చేశాడు.
"In Australia, there is a store called PieFace which sells meat pies with smiley faces on them.","ऑस्ट्रेलिया में, पाईफेस नाम की एक दुकान है जो मीट पाई बेचती है जिन पर स्माइली चेहरे बने होते हैं।","Australia mein, PieFace naam ki ek dukan hai jo meat pie bechti hai jin par smiley chehre bane hote hain.","ఆస్ట్రేలియాలో పైఫేస్ అనే ఒక స్టోర్ ఉంది, అది స్మైలీ ఫేస్‌లు ఉన్న మీట్ పైలను అమ్ముతుంది."
Don't go there.,वहाँ मत जाओ।,Vahan mat jao.,అక్కడికి వెళ్లవద్దు.
They make wonderful walking buddies.,वे टहलने के लिए बेहतरीन साथी बनते हैं।,Ve tahalne ke liye behtareen saathi bante hain.,వారు నడవడానికి అద్భుతమైన తోడుగా ఉంటారు.
The church was white and brown and looked very old.,चर्च सफेद और भूरे रंग का था और बहुत पुराना लग रहा था।,Church safed aur bhoore rang ka tha aur bahut purana lag raha tha.,ఆ చర్చి తెలుపు మరియు గోధుమ రంగులో ఉండి చాలా పాతదిగా కనిపించింది.
"Watch out, there's quicksand.","सावधान रहें, वहाँ दलदल है।","Savdhan rahein, vahan daldal hai.","జాగ్రత్త, అక్కడ ఇసుక తిన్నెలు ఉన్నాయి."
She likes to play soccer.,उसे फुटबॉल खेलना पसंद है।,Use football khelna pasand hai.,ఆమెకు ఫుట్‌బాల్ ఆడటం అంటే ఇష్టం.
I will open the door.,मैं दरवाजा खोलूँगा।,Main darwaza kholunga.,నేను తలుపు తీస్తాను.
I will have a baby in the near future.,निकट भविष्य में मेरे घर एक बच्चा आने वाला है।,Nikat bhavishya mein mere ghar ek bachcha aane wala hai.,సమీప భవిష్యత్తులో నాకు బిడ్డ పుట్టబోతోంది.
That was the president on the phone.,फ़ोन पर राष्ट्रपति थे।,Phone par rashtrapati the.,ఫోన్‌లో మాట్లాడింది రాష్ట్రపతి గారు.
"Well, that's a big surprise.","खैर, यह तो बहुत बड़ी हैरानी की बात है।","Khair, yeh toh bahut badi hairani ki baat hai.","అవును, ఇది చాలా పెద్ద ఆశ్చర్యం."
Every year Americans pay half a trillion in rent.,हर साल अमेरिकी किराए के रूप में आधा ट्रिलियन का भुगतान करते हैं।,Har saal ameriki kiraye ke roop mein aadha trillion ka bhugtan karte hain.,ప్రతి సంవత్సరం అమెరికన్లు అద్దె రూపంలో అర ట్రిలియన్ చెల్లిస్తారు.
You have a beautiful home.,आपका घर बहुत सुंदर है।,Aapka ghar bahut sundar hai.,మీ ఇల్లు చాలా అందంగా ఉంది.
"I started drinking when I was sixteen, but I'm European.","मैंने सोलह साल की उम्र में शराब पीना शुरू कर दिया था, लेकिन मैं यूरोपीय हूँ।","Maine solah saal ki umr mein sharab peena shuru kar diya tha, lekin main european hoon.","నేను పదహారేళ్ల వయసులోనే మద్యం తాగడం మొదలుపెట్టాను, కానీ నేను యూరోపియన్‌ని."
I wish I had never gone surfing that day.,काश मैं उस दिन सर्फिंग के लिए कभी नहीं गया होता।,Kaash main us din surfing ke liye kabhi nahi gaya hota.,ఆ రోజు నేను సర్ఫింగ్‌కు వెళ్లకపోతే బాగుండేది అనిపిస్తోంది.
The professor marked down one point for every use of the word 'interesting' in a paper.,प्रोफेसर ने पेपर में 'इंटरेस्टिंग' शब्द के हर इस्तेमाल के लिए एक अंक काट लिया।,Professor ne paper mein 'interesting' shabd ke har istemaal ke liye ek ank kaat liya.,ప్రొఫెసర్ పేపర్‌లో 'ఇంట్రెస్టింగ్' అనే పదాన్ని వాడిన ప్రతిసారీ ఒక మార్కు తగ్గించారు.
I won’t believe it unless I see it with my own eyes.,मैं तब तक विश्वास नहीं करूँगा जब तक मैं इसे अपनी आँखों से न देख लूँ।,Main tab tak vishwas nahi karunga jab tak main ise apni aankhon se na dekh loon.,నేను నా కళ్లతో చూసే వరకు దీన్ని నమ్మను.
"She always worried that sings would embarrass themselves, because if she was in front of a crowd she would always be worried about embarrassing herself.","उसे हमेशा चिंता रहती थी कि लोग खुद को शर्मिंदा कर लेंगे, क्योंकि अगर वह भीड़ के सामने होती तो उसे हमेशा खुद के शर्मिंदा होने की चिंता रहती थी।","Use hamesha chinta rehti thi ki log khud ko sharminda kar lenge, kyonki agar vah bheed ke saamne hoti toh use hamesha khud ke sharminda hone ki chinta rehti thi.","ఎవరైనా తమను తాము ఇబ్బంది పాలు చేసుకుంటారేమో అని ఆమె ఎప్పుడూ ఆందోళన చెందేది, ఎందుకంటే ఆమె జనసమూహం ముందు ఉన్నప్పుడు తను కూడా ఇబ్బంది పడతానని ఎప్పుడూ భయపడేది."
I don't want to drink alcohol.,मैं शराब नहीं पीना चाहता।,Main sharab nahi peena chahta.,నేను మద్యం తాగాలనుకోవడం లేదు.
It was so cold that no one wanted to go outside.,इतनी ठंड थी कि कोई बाहर नहीं जाना चाहता था।,Itni thand thi ki koi bahar nahi jana chahta tha.,చాలా చలిగా ఉండటంతో ఎవరూ బయటకు వెళ్లాలనుకోలేదు.
The wind was so strong it swept her hat right away.,हवा इतनी तेज़ थी कि वह उसकी टोपी उड़ा ले गई।,Hawa itni tez thi ki vah uski topi uda le gayi.,గాలి ఎంత బలంగా ఉందంటే అది ఆమె టోపీని ఎత్తుకుపోయింది.
I don't think I liked the movie.,मुझे नहीं लगता कि मुझे फिल्म पसंद आई।,Mujhe nahi lagta ki mujhe film pasand aayi.,నాకు ఆ సినిమా నచ్చిందని నేను అనుకోవడం లేదు.
It's been three months and his stab wound hasn't healed yet.,तीन महीने हो गए हैं और उसका चाकू का घाव अभी तक नहीं भरा है।,Teen mahine ho gaye hain aur uska chaku ka ghav abhi tak nahi bhara hai.,మూడు నెలలు గడిచినా అతని కత్తి గాయం ఇంకా మానలేదు.
The fan is blowing in my face right now.,पंखा अभी मेरे चेहरे पर हवा दे रहा है।,Pankha abhi mere chehre par hawa de raha hai.,ఫ్యాన్ గాలి ఇప్పుడు నా ముఖం మీద పడుతోంది.
The footballers were very upset when they cancelled the game because of lightning threats.,बिजली गिरने के खतरे के कारण जब खेल रद्द कर दिया गया तो फुटबॉल खिलाड़ी बहुत परेशान थे।,Bijli girne ke khatre ke karan jab khel radd kar diya gaya to football khiladi bahut pareshan the.,పిడుగులు పడే ప్రమాదం ఉందని ఆటను రద్దు చేసినప్పుడు ఫుట్‌బాల్ క్రీడాకారులు చాలా నిరాశ చెందారు.
Elizabeth is traveling all around the country to hear directly from people like you.,एलिज़ाबेथ आप जैसे लोगों से सीधे बात करने के लिए पूरे देश की यात्रा कर रही है।,Elizabeth aap jaise logon se seedhe baat karne ke liye poore desh ki yatra kar rahi hai.,ఎలిజబెత్ మీలాంటి వారి మాటలను నేరుగా వినడానికి దేశమంతా పర్యటిస్తోంది.
I'm always on time.,मैं हमेशा समय पर आता हूँ।,Main hamesha samay par aata hoon.,నేను ఎప్పుడూ సమయానికి వస్తాను.
The contents of the box are listed on the label.,बॉक्स की सामग्री लेबल पर सूचीबद्ध है।,Box ki samagri label par soochibaddh hai.,పెట్టెలో ఉన్న వస్తువుల వివరాలు లేబుల్‌పై ఉన్నాయి.
My pen broke and leaked blue ink all over my new dress.,मेरा पेन टूट गया और मेरी नई ड्रेस पर नीली स्याही फैल गई।,Mera pen toot gaya aur meri nayi dress par neeli syahi phail gayi.,నా పెన్ను విరిగి నా కొత్త డ్రెస్ అంతా నీలం రంగు సిరా అంటుకుంది.
Historical sites are awesome to walk through.,ऐतिहासिक स्थलों पर घूमना बहुत अच्छा लगता है।,Aitihasik sthalon par ghoomna bahut achha lagta hai.,చారిత్రక ప్రదేశాలలో నడవడం చాలా అద్భుతంగా ఉంటుంది.
"I love bacon, eggs, and orange juice for breakfast.","मुझे नाश्ते में बेकन, अंडे और संतरे का जूस पसंद है।","Mujhe nashte mein bacon, ande aur santre ka juice pasand hai.","నాకు అల్పాహారంలో బేకన్, గుడ్లు మరియు ఆరెంజ్ జ్యూస్ అంటే చాలా ఇష్టం."
Big Brother is watching.,बिग ब्रदर देख रहा है।,Big Brother dekh raha hai.,బిగ్ బ్రదర్ చూస్తున్నాడు.
"Pluto may not be a planet anymore, but it's a planet in my heart.","भले ही प्लूटो अब ग्रह न हो, लेकिन मेरे दिल में वह एक ग्रह ही है।","Bhale hi Pluto ab grah na ho, lekin mere dil mein vah ek grah hi hai.","ప్లూటో ఇప్పుడు గ్రహం కాకపోవచ్చు, కానీ నా హృదయంలో అది ఒక గ్రహమే."
My biggest problem is deciding what to do next.,मेरी सबसे बड़ी समस्या यह तय करना है कि आगे क्या करना है।,Meri sabse badi samasya yeh tay karna hai ki aage kya karna hai.,"నా అతి పెద్ద సమస్య ఏమిటంటే, తర్వాత ఏమి చేయాలో నిర్ణయించుకోవడం."
Tom asked me if he was invited to the party.,टॉम ने मुझसे पूछा कि क्या उसे पार्टी में आमंत्रित किया गया है।,Tom ne mujhse poochha ki kya use party mein aamantrit kiya gaya hai.,పార్టీకి తనను పిలిచారా అని టామ్ నన్ను అడిగాడు.
Her dream is to visit Paris.,उसका सपना पेरिस घूमने का है।,Uska sapna Paris ghoomne ka hai.,పారిస్ సందర్శించడమే ఆమె కల.
There are eggs in the nest.,घोंसले में अंडे हैं।,Ghonsle mein ande hain.,గూడులో గుడ్లు ఉన్నాయి.
My shoes are blue with yellow stripes and green stars on the front.,मेरे जूते नीले रंग के हैं जिन पर पीली धारियां और सामने हरे रंग के सितारे हैं।,Mere joote neele rang ke hain jin par peeli dhariyan aur saamne hare rang ke sitare hain.,"నా బూట్లు నీలం రంగులో ఉండి, పసుపు రంగు చారలు మరియు ముందు భాగంలో ఆకుపచ్చ నక్షత్రాలను కలిగి ఉన్నాయి."
He’s as proud as a peacock.,वह मोर की तरह गर्वित है।,Vah mor ki tarah garvit hai.,అతను నెమలిలా గర్వంగా ఉన్నాడు.
You'd better look before you jump.,बेहतर होगा कि तुम कूदने से पहले देख लो।,Behtar hoga ki tum koodne se pehle dekh lo.,నువ్వు దూకే ముందు చూసుకోవడం మంచిది.
I'm cutting down on sweets.,मैं मीठा कम खा रहा हूँ।,Main meetha kam kha raha hoon.,నేను స్వీట్లు తినడం తగ్గించాను.
I have a friend whose father is the captain of a big ship.,मेरा एक दोस्त है जिसके पिता एक बड़े जहाज के कप्तान हैं।,Mera ek dost hai jiske pita ek bade jahaz ke kaptan hain.,"నాకు ఒక స్నేహితుడు ఉన్నాడు, అతని తండ్రి ఒక పెద్ద ఓడకు కెప్టెన్."
Somebody help me.,कोई मेरी मदद करो।,Koi meri madad karo.,ఎవరైనా నాకు సహాయం చేయండి.
Go sit on the roof.,जाकर छत पर बैठो।,Jaakar chhat par baitho.,వెళ్లి మేడ మీద కూర్చో.
"Please, take pity on me.","कृपया, मुझ पर दया करो।","Kripya, mujh par daya karo.","దయచేసి, నా మీద జాలి చూపించు."
The squeaky wheel gets the oil.,जो मांगता है उसी को मिलता है।,Jo maangta hai usi ko milta hai.,అడిగిన వారికే దక్కుతుంది.
Mother doesn't make things up.,माँ मनगढ़ंत बातें नहीं बनाती हैं।,Maa mangadant baatein nahi banati hain.,అమ్మ అబద్ధాలు చెప్పదు.
I hope that a little bit of my soul dwindles away.,मुझे उम्मीद है कि मेरी आत्मा का थोड़ा सा हिस्सा कम हो जाएगा।,Mujhe ummeed hai ki meri aatma ka thoda sa hissa kam ho jayega.,నా ఆత్మలో కొంత భాగం కరిగిపోతుందని నేను ఆశిస్తున్నాను.
I have a good idea.,मेरे पास एक अच्छा विचार है।,Mere paas ek achha vichaar hai.,నా దగ్గర ఒక మంచి ఆలోచన ఉంది.
The President is back.,राष्ट्रपति वापस आ गए हैं।,Rashtrapati wapas aa gaye hain.,అధ్యక్షుడు తిరిగి వచ్చారు.
My biggest problem is deciding what I should wear.,मेरी सबसे बड़ी समस्या यह तय करना है कि मुझे क्या पहनना चाहिए।,Meri sabse badi samasya yeh tay karna hai ki mujhe kya pehanna chahiye.,నేను ఏమి ధరించాలో నిర్ణయించుకోవడమే నా అతి పెద్ద సమస్య.
She had to start saving in October so she could afford to buy Christmas presents for all her family and friends.,उसे अक्टूबर में बचत शुरू करनी पड़ी ताकि वह अपने सभी परिवार और दोस्तों के लिए क्रिसमस के उपहार खरीद सके।,Use October mein bachat shuru karni padi taki woh apne sabhi parivar aur doston ke liye Christmas ke uphar khareed sake.,ఆమె తన కుటుంబ సభ్యులందరికీ మరియు స్నేహితులకు క్రిస్మస్ బహుమతులు కొనడం కోసం అక్టోబరులోనే పొదుపు చేయడం ప్రారంభించాల్సి వచ్చింది.
Jessica wants a new book.,जेसिका को एक नई किताब चाहिए।,Jessica ko ek nayi kitab chahiye.,జెస్సికాకు ఒక కొత్త పుస్తకం కావాలి.
